iter	Passed	Remaining
408	4592	6636
409	4603	6624
410	4613	6611
411	4624	6599
412	4634	6587
413	4645	6575
414	4655	6562
415	4666	6550
416	4677	6539
417	4688	6528
418	4699	6516
419	4709	6503
420	4721	6492
421	4731	6481
422	4744	6472
423	4756	6461
424	4766	6449
425	4778	6438
426	4789	6426
427	4799	6413
428	4810	6402
429	4822	6392
430	4833	6381
431	4845	6370
432	4856	6358
433	4867	6348
434	4878	6337
435	4890	6325
436	4901	6314
437	4911	6302
438	4922	6290
439	4934	6280
440	4944	6267
441	4956	6256
442	4967	6245
443	4978	6233
444	4989	6223
445	4999	6210
446	5009	6197
447	5020	6186
448	5032	6175
449	5043	6164
450	5055	6153
451	5065	6140
452	5075	6128
453	5086	6116
454	5096	6104
455	5106	6092
456	5116	6079
457	5128	6069
458	5139	6057
459	5150	6046
460	5161	6034
461	5171	6021
462	5181	6009
463	5191	5997
464	5202	5985
465	5212	5973
466	5224	5963
467	5234	5950
468	5245	5938
469	5255	5926
470	5265	5914
471	5276	5902
472	5287	5890
473	5298	5880
474	5309	5868
475	5319	5856
476	5330	5844
477	5341	5833
478	5352	5821
479	5362	5809
480	5373	5797
481	5383	5785
482	5393	5773
483	5405	5763
484	5415	5750
485	5426	5738
486	5438	5728
487	5448	5716
488	5460	5705
489	5470	5693
490	5480	5681
491	5492	5670
492	5502	5659
493	5513	5647
494	5523	5635
495	5534	5623
496	5543	5610
497	5554	5599
498	5565	5587
499	5575	5575
500	5586	5563
501	5596	5552
502	5607	5540
503	5617	5528
504	5627	5515
505	5637	5503
506	5647	5491
507	5659	5481
508	5669	5469
509	5680	5457
510	5690	5445
511	5711	5443
512	5721	5431
513	5731	5419
514	5743	5408
515	5754	5397
516	5765	5385
517	5776	5374
518	5787	5363
519	5799	5353
520	5810	5342
521	5820	5330
522	5831	5318
523	5843	5307
524	5853	5296
525	5863	5284
526	5874	5272
527	5885	5261
528	5897	5250
529	5909	5240
530	5919	5228
531	5930	5217
532	5941	5206
533	5952	5194
534	5962	5182
535	5973	5171
536	5983	5159
537	5994	5147
538	6004	5135
539	6015	5124
540	6026	5113
541	6036	5100
542	6045	5088
543	6057	5077
544	6067	5065
545	6079	5054
546	6089	5043
547	6099	5031
548	6110	5020
549	6121	5008
550	6132	4997
551	6144	4986
552	6155	4975
553	6165	4963
554	6176	4952
555	6186	4940
556	6197	4929
557	6208	4917
558	6219	4906
559	6229	4894
560	6240	4883
561	6251	4871
562	6261	4859
563	6284	4858
564	6296	4847
565	6307	4836
566	6317	4824
567	6326	4812
568	6337	4800
569	6347	4788
570	6359	4778
571	6370	4766
572	6381	4755
573	6393	4745
574	6404	4733
575	6415	4722
576	6426	4711
577	6436	4699
578	6448	4688
579	6457	4676
580	6468	4664
581	6478	4653
582	6489	4641
583	6500	4630
584	6511	4619
585	6521	4607
586	6534	4597
587	6544	4585
588	6555	4574
589	6565	4562
590	6576	4551
591	6587	4539
592	6597	4528
593	6608	4517
594	6620	4506
595	6631	4495
596	6642	4484
597	6653	4473
598	6665	4462
599	6675	4450
600	6686	4439
601	6699	4428
602	6710	4418
603	6722	4407
604	6734	4396
605	6746	4386
606	6757	4374
607	6767	4363
608	6778	4352
609	6791	4341
610	6801	4330
611	6812	4318
612	6822	4307
613	6832	4295
614	6843	4283
615	6853	4272
616	6865	4261
617	6875	4249
618	6885	4238
619	6896	4226
620	6906	4215
621	6918	4204
622	6929	4193
623	6940	4181
624	6949	4169
625	6961	4158
626	6972	4147
627	6983	4136
628	6995	4126
629	7007	4115
630	7016	4103
631	7028	4092
632	7037	4080
633	7049	4069
634	7060	4058
635	7072	4047
636	7083	4036
637	7094	4025
638	7104	4013
639	7115	4002
640	7126	3991
641	7138	3980
642	7148	3968
643	7159	3957
644	7171	3947
645	7182	3935
646	7194	3925
647	7205	3913
648	7215	3902
649	7226	3890
650	7236	3879
651	7248	3868
652	7260	3857
653	7271	3846
654	7282	3835
655	7293	3824
656	7303	3812
657	7314	3801
658	7326	3791
659	7337	3779
660	7349	3769
661	7360	3758
662	7370	3746
663	7380	3734
664	7391	3723
665	7402	3712
666	7412	3700
667	7422	3689
668	7432	3677
669	7442	3665
670	7453	3654
671	7465	3643
672	7475	3632
673	7485	3620
674	7496	3609
675	7507	3598
676	7519	3587
677	7530	3576
678	7540	3564
679	7551	3553
680	7563	3542
681	7573	3531
682	7583	3519
683	7595	3508
684	7606	3498
685	7617	3486
686	7627	3475
687	7637	3463
688	7648	3452
689	7658	3440
690	7668	3429
691	7680	3418
692	7690	3406
693	7701	3395
694	7713	3385
695	7724	3374
696	7736	3363
697	7747	3352
698	7757	3340
699	7769	3329
700	7780	3318
701	7792	3307
702	7802	3296
703	7815	3285
704	7825	3274
705	7837	3263
706	7848	3252
707	7859	3241
708	7871	3230
709	7882	3219
710	7892	3208
711	7903	3197
712	7913	3185
713	7925	3174
714	7936	3163
715	7947	3152
716	7958	3141
717	7969	3129
718	7979	3118
719	7989	3107
720	7999	3095
721	8010	3084
722	8022	3073
723	8031	3061
724	8043	3050
725	8054	3039
726	8063	3028
727	8073	3016
728	8084	3005
729	8094	2993
730	8105	2982
731	8116	2971
732	8127	2960
733	8138	2949
734	8149	2938
735	8160	2927
736	8170	2915
737	8181	2904
738	8191	2893
739	8202	2881
740	8212	2870
741	8224	2859
742	8234	2848
743	8246	2837
744	8256	2825
745	8266	2814
746	8278	2803
747	8288	2792
748	8299	2781
749	8310	2770
750	8320	2758
751	8331	2747
752	8342	2736
753	8352	2725
754	8364	2714
755	8375	2703
756	8386	2692
757	8397	2681
758	8407	2669
759	8418	2658
760	8429	2647
761	8438	2635
762	8450	2624
763	8460	2613
764	8472	2602
765	8485	2592
766	8496	2580
767	8508	2570
768	8518	2558
769	8528	2547
770	8538	2536
771	8549	2525
772	8559	2513
773	8569	2502
774	8580	2491
775	8589	2479
776	8598	2467
777	8608	2456
778	8620	2445
779	8630	2434
780	8640	2422
781	8651	2411
782	8661	2400
783	8672	2389
784	8682	2378
785	8692	2366
786	8704	2355
787	8714	2344
788	8725	2333
789	8736	2322
790	8746	2311
791	8758	2300
792	8769	2289
793	8780	2277
794	8790	2266
795	8802	2255
796	8813	2244
797	8826	2234
798	8836	2222
799	8847	2211
800	8859	2201
801	8869	2189
802	8880	2178
803	8891	2167
804	8901	2156
805	8913	2145
806	8923	2134
807	8934	2123
808	8945	2111
809	8955	2100
810	8965	2089
811	8977	2078
812	8988	2067
813	8998	2056
814	9008	2044
815	9020	2033
816	9030	2022
817	9042	2011
818	9052	2000
819	9064	1989
820	9073	1978
821	9084	1967
822	9094	1955
823	9105	1944
824	9116	1933
825	9127	1922
826	9140	1912
827	9150	1900
828	9162	1890
829	9174	1879
830	9185	1868
