iter	RMSE
0	90.78069148
1	89.91884967
2	89.17614649
3	88.54016974
4	87.92205143
5	87.3033586
6	86.79679901
7	86.33376762
8	85.9238231
9	85.52382577
10	85.11096168
11	84.74754086
12	84.48952346
13	84.20261662
14	83.95627113
15	83.72725296
16	83.51149228
17	83.32443797
18	83.15491527
19	83.00556823
20	82.84915251
21	82.68271451
22	82.52470126
23	82.35814355
24	82.20904274
25	82.05666992
26	81.89169383
27	81.76202505
28	81.57517469
29	81.46322354
30	81.32796335
31	81.18293192
32	81.0723619
33	80.99058452
34	80.89723248
35	80.77949978
36	80.66251451
37	80.55956681
38	80.43272696
39	80.36207233
40	80.27229076
41	80.12995903
42	80.05336233
43	79.97360808
44	79.8675909
45	79.76996146
46	79.65934881
47	79.54724366
48	79.4654398
49	79.36892911
50	79.26014579
51	79.17218892
52	79.08313462
53	79.0202336
54	78.94395295
55	78.85705127
56	78.76958195
57	78.69137646
58	78.61019551
59	78.49837733
60	78.42869436
61	78.35651454
62	78.24645981
63	78.1782664
64	78.07853579
65	78.0096887
66	77.92230239
67	77.84052899
68	77.76138267
69	77.68361198
70	77.62331545
71	77.52979017
72	77.48983151
73	77.42877003
74	77.3791485
75	77.306194
76	77.240008
77	77.16497303
78	77.0833854
79	77.02583777
80	76.95909389
81	76.89266696
82	76.85675467
83	76.78787587
84	76.71652127
85	76.64929093
86	76.56737408
87	76.50151553
88	76.43924522
89	76.38043303
90	76.33134924
91	76.23062979
92	76.16943054
93	76.1115451
94	76.03170674
95	75.97660742
96	75.89260395
97	75.84779946
98	75.76734518
99	75.69736855
100	75.6343856
101	75.5935217
102	75.54915678
103	75.48110172
104	75.37698384
105	75.33519585
106	75.26329213
107	75.2359901
108	75.15564405
109	75.08967009
110	75.02224149
111	74.97379807
112	74.94994515
113	74.91773064
114	74.84103697
115	74.79292116
116	74.72090157
117	74.66019799
118	74.62491687
119	74.57789515
120	74.52900665
121	74.48152354
122	74.42613533
123	74.34194158
124	74.27577928
125	74.23841325
126	74.18431027
127	74.13200194
128	74.06469882
129	74.0253768
130	73.98426874
131	73.92362683
132	73.86561468
133	73.82504763
134	73.77746424
135	73.71803428
136	73.66422103
137	73.62238538
138	73.57460667
139	73.49180532
140	73.44512629
141	73.40515005
142	73.36448689
143	73.2949191
144	73.25566907
145	73.2024096
146	73.14953067
147	73.10352552
148	73.0411534
149	72.98361064
150	72.9340223
151	72.88760805
152	72.83623939
153	72.76116694
154	72.70711398
155	72.62998419
156	72.58007813
157	72.51525674
158	72.46190223
159	72.41717835
160	72.34758636
161	72.30111506
162	72.24421729
163	72.16660625
164	72.10430235
165	72.05538006
166	72.0054302
167	71.96172011
168	71.89825141
169	71.86707169
170	71.79941915
171	71.77511776
172	71.71297906
173	71.62857951
174	71.59214054
175	71.53674095
176	71.48171799
177	71.39777218
178	71.33760288
179	71.27244786
180	71.20416491
181	71.15186053
182	71.1011201
183	71.06709943
184	70.98888327
185	70.93347816
186	70.89367059
187	70.84145971
188	70.7995614
189	70.74433187
190	70.71240912
191	70.64782079
192	70.60140906
193	70.53502806
194	70.49136409
195	70.44497848
196	70.39845608
197	70.34732017
198	70.28192555
199	70.22380709
200	70.16414687
201	70.09701099
202	70.04727116
203	69.9768063
204	69.92435324
205	69.87275879
206	69.82773123
207	69.77926086
208	69.72524435
209	69.69131861
210	69.6285111
211	69.55954441
212	69.52102607
213	69.47384156
214	69.44789657
215	69.40907455
216	69.35410422
217	69.29673822
218	69.26717511
219	69.23902177
220	69.19998746
221	69.16277102
222	69.10947584
223	69.08027478
224	69.0249065
225	68.97160002
226	68.94421479
227	68.90447763
228	68.86278456
229	68.83120156
230	68.80703688
231	68.76125304
232	68.72359673
233	68.67857308
234	68.63623387
235	68.59213516
236	68.55832893
237	68.4982732
238	68.45724163
239	68.40673033
240	68.36568914
241	68.31584321
242	68.27026519
243	68.20280188
244	68.15357713
245	68.11139289
246	68.06919038
247	68.02267871
248	67.98469311
249	67.95053863
250	67.9007893
251	67.87132638
252	67.81451281
253	67.76837272
254	67.73071916
255	67.67353795
256	67.63804002
257	67.60472279
258	67.56161091
259	67.52430428
260	67.49223809
261	67.42738327
262	67.37783732
263	67.33801129
264	67.30612588
265	67.2668381
266	67.22554249
267	67.18911432
268	67.1479643
269	67.118305
270	67.07767473
271	67.02835114
272	66.97845875
273	66.94267555
274	66.90347891
275	66.86535387
276	66.82549491
277	66.79088366
278	66.74959029
279	66.7055382
280	66.65968748
281	66.61609745
282	66.579607
283	66.55023749
284	66.50525418
285	66.45942085
286	66.42392574
287	66.39838863
288	66.33890897
289	66.3076314
290	66.27204218
291	66.23424731
292	66.20125909
293	66.16265254
294	66.119283
295	66.0753185
296	66.04782943
297	66.00946215
298	65.98337611
299	65.94902279
300	65.91553578
301	65.87951896
302	65.84693707
303	65.79088218
304	65.76443269
305	65.73361043
306	65.68948806
307	65.65901888
308	65.62189947
309	65.59244716
310	65.55860575
311	65.5259619
312	65.48355643
313	65.45762792
314	65.42313891
315	65.38223835
316	65.35459049
317	65.33688134
318	65.30989159
319	65.2758014
320	65.24216918
321	65.18751676
322	65.15747833
323	65.12941571
324	65.07390671
325	65.03603676
326	64.99513276
327	64.95673662
328	64.92956324
329	64.89067483
330	64.85593905
331	64.82451236
332	64.79571921
333	64.75777383
334	64.72199946
335	64.68903198
336	64.65054428
337	64.63371153
338	64.6007506
339	64.55839782
340	64.51534247
341	64.46816146
342	64.44050684
343	64.40076746
344	64.36454972
345	64.34059001
346	64.30943777
347	64.25625944
348	64.23789007
349	64.20772746
350	64.18200224
351	64.14111941
352	64.09158668
353	64.06499101
354	64.03629037
355	64.01592166
356	63.98460677
357	63.94980569
358	63.91940695
359	63.89908461
360	63.87770164
361	63.84423322
362	63.82794627
363	63.80799559
364	63.7691662
365	63.7307789
366	63.69934815
367	63.6763141
368	63.64526233
369	63.59823349
370	63.58082595
371	63.55120493
372	63.51867007
373	63.48273081
374	63.45434305
375	63.39910863
376	63.35350471
377	63.32185655
378	63.29535516
379	63.24241224
380	63.21075871
381	63.18204092
382	63.14422439
383	63.11390665
384	63.08571976
385	63.05503468
386	63.02509632
387	62.99777111
388	62.95125463
389	62.92493685
390	62.90423848
391	62.87528756
392	62.85080762
393	62.8236568
394	62.78234667
395	62.73091256
396	62.70821716
397	62.68715547
398	62.66459289
399	62.62612169
400	62.58151498
401	62.54695779
402	62.51733538
403	62.48944479
404	62.4360503
405	62.40252523
406	62.36588731
407	62.33271246
408	62.29860756
409	62.27157319
410	62.24627542
411	62.21757143
412	62.19197667
413	62.16245794
414	62.14620668
415	62.10521179
416	62.07014395
417	62.04093223
418	62.01905758
419	61.98738396
420	61.95731295
421	61.92901129
422	61.89919452
423	61.87596119
424	61.85662415
425	61.8076414
426	61.78092744
427	61.7516048
428	61.72477236
429	61.67619959
430	61.64901167
431	61.62656178
432	61.6067243
433	61.58048786
434	61.55049384
435	61.52733943
436	61.4996402
437	61.48089179
438	61.45440613
439	61.40702493
440	61.3871836
441	61.36101053
442	61.33778125
443	61.29661955
444	61.26364947
445	61.24706715
446	61.22890864
447	61.19862159
448	61.16084785
449	61.11878627
450	61.07678806
451	61.06110188
452	61.04175038
453	61.01424223
454	60.98622349
455	60.95933633
456	60.94248905
457	60.86844126
458	60.84501266
459	60.824774
460	60.79109049
461	60.77779762
462	60.7591859
463	60.72894426
464	60.71136418
465	60.68997106
466	60.65951491
467	60.63130355
468	60.61656385
469	60.59496898
470	60.56363072
471	60.53448864
472	60.50992441
473	60.48560585
474	60.46478995
475	60.44349659
476	60.42392384
477	60.40550531
478	60.37291383
479	60.35151947
480	60.32146805
481	60.2958114
482	60.2736966
483	60.24415101
484	60.23300311
485	60.20571408
486	60.14793773
487	60.12534187
488	60.08713674
489	60.04912645
490	60.03608251
491	59.99560789
492	59.97001198
493	59.93589293
494	59.91481021
495	59.89760288
496	59.88497657
497	59.85845773
498	59.84339832
499	59.80634587
500	59.79204627
501	59.75495525
502	59.73239789
503	59.70462606
504	59.67821004
505	59.65468751
506	59.63366202
507	59.59775782
508	59.58409515
509	59.55617258
510	59.52947024
511	59.51181046
512	59.48449373
513	59.45590296
514	59.43667625
515	59.40942534
516	59.38536612
517	59.3644276
518	59.33178968
519	59.31069476
520	59.28647679
521	59.27206599
522	59.25612638
523	59.21045566
524	59.18830601
525	59.16606278
526	59.12603535
527	59.11013
528	59.08073335
529	59.03338036
530	59.011686
531	58.98917808
532	58.96309034
533	58.93917389
534	58.92203715
535	58.90709369
536	58.89545176
537	58.86677829
538	58.84539629
539	58.81021308
540	58.77988207
541	58.76180209
542	58.74976158
543	58.71655163
544	58.70269317
545	58.66931123
546	58.65392639
547	58.63138924
548	58.58539914
549	58.57216296
550	58.54667976
551	58.52766684
552	58.50553398
553	58.48535784
554	58.4643845
555	58.43366519
556	58.41657598
557	58.38831308
558	58.3592786
559	58.343363
560	58.31291319
561	58.28591853
562	58.27180849
563	58.23217679
564	58.19410396
565	58.17148643
566	58.15440183
567	58.14492054
568	58.12043612
569	58.09275246
570	58.06661548
571	58.04451651
572	58.01153068
573	57.98792581
574	57.96650386
575	57.93207855
576	57.9131462
577	57.89431005
578	57.87365138
579	57.86473595
580	57.84339691
581	57.81448383
582	57.79574354
583	57.76481092
584	57.73851161
585	57.72255003
586	57.69992429
587	57.67284438
588	57.6578207
589	57.64036057
590	57.62098023
591	57.59516316
592	57.5668898
593	57.53357954
594	57.5041076
595	57.48149164
596	57.45542419
597	57.44017339
598	57.41223701
599	57.38533597
600	57.36356469
601	57.32392223
602	57.29829762
603	57.27687759
604	57.24273934
605	57.20690938
606	57.17624637
607	57.15909435
608	57.12408619
609	57.09017635
610	57.07192102
611	57.05051409
612	57.02969089
613	57.01122498
614	56.99052543
