FID,feat_name,households,income_100,income_10K,income_125,income_150,income_15k,income_20k,income_25k,income_30k,income_35k,income_40k,income_45k,income_50k,income_60k,income_75k,income_gt_,income_lt_,median_inc,pop_densit,population,year
967,130202030402,67.719999999999999,3.880000000000000,5.190000000000000,1.930000000000000,1.240000000000000,6.240000000000000,3.660000000000000,2.590000000000000,4.580000000000000,3.110000000000000,4.600000000000000,3.550000000000000,6.020000000000000,6.040000000000000,4.320000000000000,0.790000000000000,9.980000000000000,40540.800000000002910,23036.919999999998254,194.969999999999999,2015.000000000000000
968,130202030403,633.230000000000018,61.420000000000002,23.010000000000002,13.380000000000001,18.180000000000000,40.979999999999997,27.219999999999999,39.159999999999997,36.780000000000001,34.810000000000002,34.490000000000002,23.590000000000000,45.979999999999997,82.909999999999997,74.989999999999995,9.699999999999999,66.620000000000005,50801.330000000001746,128134.509999999994761,2144.059999999999945,2015.000000000000000
969,130202030404,582.950000000000045,46.119999999999997,26.730000000000000,10.930000000000000,14.910000000000000,44.670000000000002,31.010000000000002,35.210000000000001,38.380000000000003,30.660000000000000,29.739999999999998,23.219999999999999,43.619999999999997,70.519999999999996,62.969999999999999,7.500000000000000,66.760000000000005,45987.250000000000000,102208.830000000001746,1938.210000000000036,2015.000000000000000
970,130202030405,215.419999999999987,12.340000000000000,15.340000000000000,3.370000000000000,1.510000000000000,16.070000000000000,14.570000000000000,9.900000000000000,16.710000000000001,7.840000000000000,14.779999999999999,10.390000000000001,22.170000000000002,23.149999999999999,16.059999999999999,0.000000000000000,31.219999999999999,37133.000000000000000,21344.049999999999272,582.019999999999982,2015.000000000000000
971,130202030406,3937.570000000000164,216.699999999999989,219.930000000000007,135.280000000000001,187.810000000000002,301.300000000000011,273.610000000000014,282.189999999999998,262.360000000000014,123.530000000000001,169.120000000000005,143.340000000000003,330.860000000000014,385.699999999999989,502.100000000000023,27.649999999999999,376.069999999999993,37483.120000000002619,510140.380000000004657,10258.879999999999200,2015.000000000000000
972,130202030407,3228.949999999999818,174.659999999999997,237.590000000000003,92.719999999999999,31.219999999999999,340.339999999999975,217.810000000000002,242.210000000000008,208.120000000000005,120.180000000000007,136.740000000000009,166.069999999999993,245.560000000000002,272.279999999999973,284.439999999999998,18.270000000000000,440.730000000000018,39394.779999999998836,468340.849999999976717,10018.600000000000364,2015.000000000000000
973,130202030408,978.549999999999955,36.219999999999999,121.359999999999999,5.530000000000000,1.100000000000000,128.219999999999999,69.920000000000002,29.090000000000000,43.119999999999997,40.259999999999998,53.759999999999998,61.460000000000001,105.989999999999995,125.099999999999994,41.759999999999998,0.590000000000000,115.069999999999993,44025.800000000002910,101308.179999999993015,3349.880000000000109,2015.000000000000000
974,130202030409,672.669999999999959,49.850000000000001,29.690000000000001,15.490000000000000,15.510000000000000,39.390000000000001,30.109999999999999,37.659999999999997,32.680000000000000,46.109999999999999,62.950000000000003,36.070000000000000,80.799999999999997,76.590000000000003,85.219999999999999,6.740000000000000,27.820000000000000,35455.430000000000291,162316.600000000005821,2110.599999999999909,2015.000000000000000
975,130202030410,1600.490000000000009,81.400000000000006,139.789999999999992,61.479999999999997,19.079999999999998,120.069999999999993,95.829999999999998,89.189999999999998,104.290000000000006,61.829999999999998,93.680000000000007,102.799999999999997,158.740000000000009,148.969999999999999,159.469999999999999,12.980000000000000,150.889999999999986,45386.400000000001455,316739.229999999981374,4833.090000000000146,2015.000000000000000
976,130202030501,25.620000000000001,1.990000000000000,3.020000000000000,1.040000000000000,0.810000000000000,2.720000000000000,2.210000000000000,0.900000000000000,0.640000000000000,1.200000000000000,1.010000000000000,2.040000000000000,0.560000000000000,2.720000000000000,2.350000000000000,0.000000000000000,2.410000000000000,39063.000000000000000,1927.509999999999991,73.290000000000006,2015.000000000000000
977,130202030502,25.120000000000001,1.940000000000000,2.950000000000000,1.010000000000000,0.790000000000000,2.660000000000000,2.160000000000000,0.880000000000000,0.640000000000000,1.180000000000000,0.980000000000000,1.990000000000000,0.560000000000000,2.660000000000000,2.330000000000000,0.010000000000000,2.380000000000000,37790.669999999998254,4741.119999999999891,71.980000000000004,2015.000000000000000
1037,130202030505,52.930000000000000,4.780000000000000,4.340000000000000,1.390000000000000,3.500000000000000,4.180000000000000,1.540000000000000,2.460000000000000,4.400000000000000,5.240000000000000,1.150000000000000,1.820000000000000,2.730000000000000,4.280000000000000,4.650000000000000,0.130000000000000,6.340000000000000,38068.400000000001455,6794.140000000000327,161.039999999999992,2015.000000000000000
1038,130202030506,77.519999999999996,7.640000000000000,6.050000000000000,1.960000000000000,6.000000000000000,5.720000000000000,1.500000000000000,3.740000000000000,7.130000000000000,8.600000000000000,1.640000000000000,2.140000000000000,4.060000000000000,6.040000000000000,6.030000000000000,0.000000000000000,9.270000000000000,38918.500000000000000,3914.050000000000182,234.599999999999994,2015.000000000000000
1039,130202030507,71.349999999999994,7.040000000000000,5.550000000000000,1.800000000000000,5.550000000000000,5.250000000000000,1.350000000000000,3.450000000000000,6.600000000000000,7.940000000000000,1.500000000000000,1.950000000000000,3.750000000000000,5.550000000000000,5.550000000000000,0.000000000000000,8.539999999999999,38774.000000000000000,5900.590000000000146,216.000000000000000,2015.000000000000000
1040,130202030508,71.209999999999994,6.130000000000000,5.520000000000000,1.710000000000000,4.570000000000000,5.520000000000000,1.760000000000000,3.370000000000000,6.300000000000000,7.150000000000000,1.310000000000000,2.160000000000000,4.090000000000000,5.530000000000000,6.790000000000000,0.360000000000000,8.940000000000000,37154.500000000000000,6147.930000000000291,220.370000000000005,2015.000000000000000
1041,130202030601,878.019999999999982,63.899999999999999,48.000000000000000,18.340000000000000,7.050000000000000,66.849999999999994,63.439999999999998,45.609999999999999,62.399999999999999,67.980000000000004,62.490000000000002,40.060000000000002,81.760000000000005,79.189999999999998,66.269999999999996,9.529999999999999,95.140000000000001,44507.750000000000000,252456.950000000011642,3097.550000000000182,2015.000000000000000
1042,130202030602,209.479999999999990,9.180000000000000,18.379999999999999,4.360000000000000,3.000000000000000,18.399999999999999,18.530000000000001,11.660000000000000,18.230000000000000,9.590000000000000,6.490000000000000,8.970000000000001,22.440000000000001,18.770000000000000,15.720000000000001,0.390000000000000,25.370000000000001,58562.599999999998545,51131.819999999999709,598.879999999999995,2015.000000000000000
