WSA_AGIDF,Ecode
NH0774010,N
NC4392128,N
NC0149124,N
NC3041048,N
NC0392353,N
ND5301079,SB
VA5117350,N
AZ0407098,S
90600130,N
CA1502315,N
CA4500014,N
CA2600620,N
CA4200842,N
CA5200510,N
CA2000506,N
CO0126121,N
CO0149352,N
CO0149466,N
CO0101095,N
DE0000259,N
DE0000130,N
FL6271171,N
FL4471110,N
GA2170094,N
GA0290024,N
ID5070023,N
ID6060089,N
IA5715702,SB
LA1019098,N
MI0003080,N
MI0040447,N
MI0040449,N
MN1040031,N
MS0530007,N
MT0000467,N
MT0000597,N
MT0004190,N
NE3105508,N
NH0694010,N
NH1842030,N
NH1522010,N
NM3564019,N
NY3903712,N
NY5503384,N
NY4301306,N
NY0310651,N
NY3512133,N
NY0901542,N
NY5922909,S
NY3600598,SB
NC0392045,SB
OH7001712,N
OH7002312,N
OH2802112,N
OH8504212,N
OH2803012,N
OK5005543,N
OK2004617,N
OK2005901,S
OK1021503,S
OK3007243,SB
OR4100348,N
OR4101262,N
OR4100213,S
PA6200004,S
RI1615626,N
TX1070039,N
TX2270039,N
TX1700615,N
TX2490061,N
TX0200328,N
VA1077539,N
VA6047955,N
WA5347640,N
WA5374400,S
WI7720163,N
WI2520175,N
WI1530064,N
WY5601032,N
AK2120012,N
TX1460141,N
TX1700216,N
MT0004834,SB
WA5300302,N
AK2270469,N
CA5500116,N
CT0286011,N
FL3420411,N
FL3424789,N
FL1374049,N
GA0310036,N
MD0040202,N
MS0600017,N
NY5930049,N
NC0326143,N
NC0118275,N
NC0136382,N
NC0319126,S
SC2450014,N
TX0860090,N
UTAH24013,S
VA2161250,N
WA5324050,S
FL3350523,N
GA2190055,N
IL1775235,N
KS2013322,S
MO5036223,N
NC0382020,S
NC0229025,S
PR0644136,N
TN0000651,S
VA1167885,N
WA5303606,N
CA1900706,N
CA1900907,N
CA0103041,N
DE0000270,N
FL3490770,N
FL4505002,N
LA1063110,B
LA1111018,N
NM3500332,N
NM3554107,N
NY1206338,N
NY0900218,SB
TX0610068,N
TX2200108,N
VA4193600,N
VA4145600,N
WA5320000,N
WA5304601,N
WA5338000,S
TX2390021,N
TX2490042,N
CT0670011,N
IL1435750,N
IN5209001,N
83090052,N
NY5503371,N
NC4092001,N
WA5398075,N
AK2216198,N
NN0403060,N
AZ0414030,N
AZ0403021,N
CA4000523,N
CO0121550,N
CO0149852,N
CT0180131,N
CT0680031,N
FL3350481,N
FL3491956,N
FL4430774,N
FL3420916,N
FL6291684,N
ID1280127,N
101600003,N
IL0915450,N
IL0977300,N
IL1671200,S
IA8209600,N
KS2016910,N
LA1055132,N
MD0220216,N
MD0060206,N
MI0000838,N
MN1050005,N
MN1700011,N
MS0240214,N
MO6048616,N
NE3105308,N
NE3105526,N
NH1732030,N
NH1203010,N
NH2353010,N
NY5000747,N
NY4501775,N
NY1521744,N
NY4404399,N
NY0130039,N
NY2501021,SB
NC0201205,N
NC0145010,S
OH7801712,N
OH8504412,N
IN5215009,S
OK2002121,N
OR4100770,N
PA1460038,N
RI1647515,SB
VT0005619,N
VT0020002,N
VA2165030,N
VA5049400,N
VA1027061,SB
WA5357214,N
WA5353365,N
WA5365919,N
WV3301943,N
WY5601225,N
WY5600009,S
TX0630012,SB
WI2300177,N
MD0120014,N
MI0000465,SB
NY3704365,S
OK1010402,S
SC4660063,N
TX1010013,S
TX0790574,N
VA4075400,B
TX0860086,N
TX1840095,N
VA4075283,SB
WA5375200,N
CT1662051,S
FL6290279,N
GA0310228,N
IA0858090,S
ME0006154,N
ME0007242,N
MI0040065,N
NH1471010,S
NC3041050,N
NC0113232,N
NC0113214,N
NC0136198,N
NC0465208,N
OH5702712,N
VT0005258,N
WY5600137,S
CA5610046,S
FL3420763,N
FL2104448,N
GA2930009,N
NY2100655,N
NY0400348,S
OH2502912,N
OH2802612,N
SC0750043,N
WA5303427,N
AZ0407179,N
CA4300771,N
CA2701553,N
CA4200531,N
CA0707553,N
CT0261081,N
CT1420041,N
FL6600347,N
GA1230060,N
GA0690034,N
IA9133701,SB
IA7727031,S
KS2006108,S
LA1019115,N
LA1055196,SB
MI0001667,N
MI0006624,N
MS0080015,N
MS0130004,N
MS0610037,N
MO3036179,N
MO5069084,N
93200165,N
NM3575630,N
NC0368122,N
ND5101687,SB
OH6501512,N
OH2503012,N
TX0460036,N
TX1560001,N
TX0460095,N
WA5325101,N
TX0790550,N
TX0700059,N
KS2001312,SB
NN0436024,N
CA2500911,N
CA3600397,N
CT1662051,S
FL3354142,N
FL3354651,N
FL6295983,N
FL6531957,N
GA0310195,N
GA0810050,N
IN5244002,N
IA5731302,N
IA8200605,N
MO5036147,N
MT0003911,N
NH1732010,N
NH1932030,N
NY3510480,N
NY5405831,N
NY1202009,N
NY3501315,N
NC0181103,N
OR4100799,S
PA7010011,N
61870043,N
VA2017130,N
VA5117707,S
WA5372810,N
WV3300230,N
WY5601415,SB
CO0154466,N
IA9133701,SB
FL3424657,N
FL3590762,N
IL0895550,N
MA2286000,N
MA2045004,N
NC0392333,N
AZ0413425,N
DE00A0327,N
DE00A0379,N
FL3641444,N
GA0350004,N
GA2250003,N
GA2210061,N
ID3140049,N
LA1015009,N
LA1049023,N
ME0004400,N
NH2052030,N
NM3500402,N
NC0279176,N
NC3041020,N
NC0433120,N
TX0360028,N
TX0810031,N
TX0610161,N
WY5601415,SB
TX1010220,N
WV3301204,S
CO0115185,N
CT0180051,N
FL3640658,N
IA3800600,N
MD0070217,N
MS0100016,N
MO5036314,N
NM3500113,S
NY5922908,N
NY3920093,N
NC0326167,N
OK2004538,B
VT0020000,N
VT0005597,N
VT0005100,N
VA1071455,S
OK1010848,S
WA5343065,N
WA5381400,N
WA5384618,N
TX1370012,N
VT0005601,N
WA5326195,N
CA4400572,N
CA4300551,N
DE0000227,N
FL3530736,N
GA0290006,N
GA1830017,N
GA1850298,N
GA1850301,N
MS0530012,S
NC0136320,N
NC0279156,N
OH5100212,N
WV3302519,SB
AZ0410219,N
AZ0413419,N
CA3200150,N
CA1000072,N
CA4500235,N
CA2701926,N
CA4200870,N
CA4310011,S
CO0136800,S
CT1090221,N
DE0001254,N
DE0000263,N
DE0000568,N
DE0000606,N
FL6290189,N
FL3420870,N
GA0270037,N
IL0895285,N
IL0977100,N
IL1977940,N
IN5245009,N
IN5243014,N
IN5234009,N
LA1055125,N
ME0007367,N
ME0091360,N
ME0003374,N
55293610,N
MI0040311,N
MI0040204,N
MN1070020,N
MO5048264,N
MT0000184,N
MT0003313,N
MT0000621,N
MT0000379,N
NH1844010,N
NH2232070,N
NM3573501,N
NM3500324,N
NM3572826,N
NY4110696,N
NY1006327,N
NY3530051,N
NY3903716,N
NY4110688,N
NC2049004,N
NC0180201,N
NC0111487,N
OH5700612,N
PA5100099,N
TX1011632,N
TX1810059,N
TX2270220,N
TX2010028,N
UTAH25124,N
VT0005623,N
VA4073510,N
VA2161665,N
WA5311002,N
WA5374372,N
WI2680224,N
TX1460160,N
NC0382010,S
DE0000654,S
GA0290009,N
IA8209308,N
KS2007702,S
NY5903442,SB
NC0392236,N
OH1100012,N
VA1195650,S
WA5317901,N
WA5343040,N
CA3700919,N
CT0500011,N
GA0130008,N
GA2290022,N
GA1850025,N
GA1310048,N
MI0040128,N
MS0540029,N
MO4010066,S
MO1010061,SB
NH2342060,N
NJ0706002,SB
NC0180159,N
NC0149139,N
PR0666106,N
SC4050019,N
WA5364830,N
WA5369350,N
WV3303908,S
WA5393950,N
AZ0410409,N
AZ0420068,N
CT1429201,N
DE0020007,N
DE0000226,N
FL3054058,N
FL3421159,N
IL0971060,N
LA1055149,N
NH1053020,N
NJ0605001,N
TN0000935,N
TX1010810,N
TX0140016,S
TX2460047,N
GA0310192,N
GA0510113,N
IL1615170,N
KS2004901,S
MS0130008,S
MT0002863,N
NY5001221,N
NC0286103,N
NC0113141,N
NC0160147,N
NC0368179,N
NC0241211,N
NC0160270,N
VA2023120,N
VA4119405,N
WI2670063,N
CT1411041,N
GA1910018,N
GA0250006,N
IL1435170,N
ME0090500,N
MO5036205,N
NC0326010,S
OK1021503,S
PA6610029,N
SC0850014,N
SC4650061,N
VT0005007,N
WA5307400,B
WA5335275,S
KS2012101,S
VA2003475,N
CA1500483,N
CT0310011,N
CT0473011,S
DE0000118,N
DE0000007,N
IL0977250,N
LA1099018,N
LA1055130,N
MS0490019,S
MO5069029,N
MO6031493,N
MO5048394,N
SD4600239,N
TX1010092,N
TX0100030,N
TX1010811,N
UTAH11052,N
WA5325900,N
TX1330018,N
VA4159500,N
WV3303317,N
CT0429011,N
FL3420124,N
GA0310248,N
GA1850293,N
GA2870003,N
GA1690027,N
GA2770132,N
ID3140113,N
MA1106002,N
NH1522090,N
NH1542030,N
NY3430008,SB
NC4392112,N
NC0118306,N
NC0276205,N
NC0363115,N
NC0241240,N
NC0392348,N
NC0440106,SB
PA3540069,N
VA3093400,N
WA5306790,N
VA5690400,S
WA5347283,N
AZ0413150,N
FL6144834,N
GA0510049,N
IN5250012,N
MI0040285,N
MI0040253,N
NH2082060,N
SC3750006,N
WA5323290,N
VA2125325,S
AZ0414039,N
CA5500193,N
CO0125320,N
DE00A0212,N
IL0970310,N
IA7727031,S
NM3520005,N
NY1919224,N
NY1330454,N
NY3801591,N
NY4801188,S
NC0136355,N
NC4092033,N
NC0136358,N
TX0270042,N
TX1070176,N
TX1050080,N
TX0910143,N
TX0730024,N
TX1010805,N
TX0110013,S
VT0005611,N
VA4133560,N
VA2109675,N
WA5319948,N
WA5305198,N
WV3304104,S
TX0680163,N
TX1010579,N
AK2213598,N
AK2310879,N
AK2310895,N
AK2224167,N
AK2221208,N
AZ0413056,B
AZ0413077,N
NN0400308,N
AZ0413274,N
90400220,N
AZ0407190,N
NN0436015,N
90400393,N
NN0400813,N
NN0435112,N
90400120,N
CA4000512,N
CA2300731,N
CA1500380,N
CA1500493,N
CA4900799,N
CA2701295,N
CA2210903,N
CA0707523,N
CA3301283,N
CA0400008,N
CA1500546,N
90400689,N
CA1210013,S
CA1500535,N
CA5000066,N
CA4900798,N
CA1500555,N
CA1000063,N
CA3600372,N
CA1400110,N
CA1000426,N
CA2900530,N
CA1400070,N
CA1500349,N
CA3900602,N
CA3301735,N
90605140,N
CA4910020,S
CO0162155,N
CO0134390,N
CO0146592,N
CO0101080,N
CO0149476,N
CO0101125,N
CO0162710,N
CO0130125,N
CO0116001,S
CO0136800,S
CT0340081,N
CT0340011,S
FL3351567,N
FL6290129,N
FL6270009,N
FL4501039,N
FL2610370,N
FL3640403,N
FL5364062,N
FL6090609,N
FL3530711,N
FL6090875,N
FL6510922,N
FL3480695,N
FL6601866,N
FL6530840,N
FL6534996,N
FL1200459,N
FL6291531,N
FL2011006,N
FL4430484,N
FL6294714,N
FL5280211,N
FL5360299,N
FL3424687,N
FL6411132,S
FL6290327,S
GA0510110,N
GA2590001,N
GA3030007,N
HI0000114,N
ID4010069,N
ID4430026,N
ID4010083,N
ID6030029,N
ID2250045,N
ID3140085,N
ID3140087,N
ID6060057,N
ID1110025,N
IL0975139,N
IL0755150,N
IL0915265,N
IL2035125,N
IL2035100,N
IL2035165,N
IL0735500,N
IL1135140,N
IL1550050,S
IL1950450,S
IL2034450,S
IL0312790,S
IL1671200,S
IN5279004,B
IN5245005,N
IN5235014,N
IA9433324,N
IA2570302,B
70000008,N
KS2014916,N
KS2016112,S
KS2001910,S
KS2013322,S
KS2011108,SB
KY0080910,N
LA1103152,N
LA1019087,N
LA1077046,N
LA1103153,N
LA1115090,N
LA1019085,N
LA1005036,N
LA1055170,N
LA1103144,N
LA1063038,N
LA1015007,N
MD0070244,N
MD0030210,N
MD0080040,N
MD0090221,N
MD0210209,N
MD0040016,N
MD0070239,N
MD0300002,S
MA4318040,N
MI0000817,N
MI0040343,N
MI0006445,N
MI0040653,N
MI0040640,N
MN1130019,N
MN1190022,N
MN1030003,N
MS0360001,S
MO3036123,N
MO5031148,N
MO3036122,N
MO3031118,N
MO3031089,N
MO6036015,N
MO4036318,N
MO5030088,N
MT0002393,N
83090009,N
MT0000035,N
MT0000454,N
MT0004250,N
MT0000345,N
MT0000025,N
MT0003101,N
MT0000400,S
NE3109301,N
NE3105512,N
NE3130005,N
NE3120312,N
NE3115711,N
NE3106104,S
NV0002552,N
NV0002070,N
NH1652020,N
NH0583050,N
NH1612030,N
NH1193010,N
NH2342040,N
NH1333020,N
NH2422010,N
NH2452030,N
NJ0506015,N
NJ0329002,N
NJ1421004,N
NJ1427003,N
NM3515918,N
NM3548801,N
NM3572126,N
NM3504926,N
NM3572626,N
NN3532011,N
NY1330021,N
NY3916013,N
NY0611923,N
NY1330337,N
NY1400423,N
NY3530177,N
NY1321901,N
NY0501736,N
NY0101603,N
NY3905686,N
NY2402363,N
NY5201345,N
NY3318329,N
NY0600828,N
NY5301416,N
NY3822721,N
NY0700788,N
NY1208249,N
NY4110693,N
NY0100202,N
NY3300992,N
NY1310450,N
NY1302110,N
NY5301429,N
NY5000744,N
NY4404401,N
NY4600072,N
NY2230096,N
NY1302127,N
NY3903651,N
NY0200314,S
NY5203343,SB
NY4100050,S
NY4901199,S
NY0501710,S
NY5203344,S
NY0801745,S
NC0235101,N
NC4392225,N
NC0118467,N
NC0474142,N
NC0111104,N
NC0498010,S
NC0145010,S
ND0801502,S
ND3001431,SB
OH7700312,N
OH3800112,N
OH3400612,N
OH7003712,N
OH1000612,N
OH7005112,N
OH6000412,S
OH3400214,S
OK2005741,N
OK1021731,N
OK1021703,N
OK1021727,N
OK4005589,N
OK2002664,N
OK4005573,N
OK7005529,N
OK2005807,N
OK2002702,S
OK1020515,S
OR4100523,N
OR4101429,N
OR4100315,N
OR4101062,N
OR4101054,N
OR4100757,N
OR4101514,N
OR4100937,N
OR4100230,N
OR4100671,N
OR4100657,S
OR4100789,S
PA4490011,N
PA4190285,N
PA7010024,N
PA1150083,N
PA7360055,N
PA2520043,N
PA1460046,S
PR0724147,N
PR0613056,N
RI2980414,N
RI2674925,N
RI1000098,N
SC4360012,N
SC2070002,N
SC4050013,B
SD4600933,N
SD4600043,S
UTAH17001,N
UTAH26002,N
UTAH11058,N
LA1063033,S
VT0005499,N
VT0005541,N
VT0005319,S
VA6033105,N
VA5067238,N
VA5019379,N
VA3175520,N
VA5031825,N
VA4133890,N
VA5143114,S
105300028,N
WA5322195,N
WA5333489,N
WA5356560,N
WA5356528,N
105300009,N
WA5370690,N
WA5306091,N
WV3301601,S
WV3304139,SB
WI2460973,N
WI6120109,N
WI8160143,N
WI2460982,N
WI2410918,N
WI8660305,S
WI1540119,S
WY5600181,N
WY5600027,N
AZ0404341,N
MA4318091,N
NJ0410001,N
UTAH11011,N
VA6099430,N
VA6099556,N
VA1640243,S
105300133,N
SC4010001,S
WA5305600,S
TX0650013,S
WI4600454,N
UTAH23076,S
AZ0413192,N
FL6531024,N
KS2016135,SB
NC0392081,N
OH7901812,N
RI2000059,N
VT0005058,SB
WI1140158,N
CA2700534,N
CA4500022,N
DE00A0329,N
FL3421520,N
GA1330050,N
GA3110010,B
GA0130032,B
GA1030144,N
IL1671200,S
IA5200801,N
LA1061017,S
MS0540021,N
NH0153050,N
NC0180194,N
NC0113165,N
NC0351154,N
NC0150200,N
NC0145147,N
NC0136204,N
TX0200337,N
VA6157400,N
VA4127900,N
WA5333140,N
WA5309314,N
WA5367397,N
WA5370791,N
WA5362034,N
GA0130002,S
GA3110072,S
TX1010078,N
FL4560069,N
GA0310274,N
GA2370060,N
MO5036048,N
SC3250054,N
SC3210004,S
VT0005268,N
VA6061665,N
CT0740021,N
CT0780181,N
CT0090051,N
FL6090267,N
KY0180549,N
LA1055131,N
NY3920281,N
NY3503540,N
NC0118296,N
OH4400112,N
OK2005541,N
PA6610023,S
WA5308246,N
WA5370350,N
WA5305600,S
WV3301705,S
AZ0410095,N
CA3600297,N
FL3420095,N
FL1650778,N
GA2610012,N
GA1030136,N
GA1030079,N
GA1030117,N
GA0310208,N
GA1790151,N
ID4010048,N
IL1035165,N
IL1390300,S
LA1073075,N
LA1049016,N
LA1055115,N
LA1055017,S
MI0003925,N
MI0003115,N
MI0006480,N
MS0560008,N
MS0230004,N
MO5036168,N
MO3048127,N
NH2232030,N
NH0762120,N
NH1181020,S
NY5903478,N
NY2202346,S
NC0241106,N
NC0326165,N
OH7005312,N
OH5001212,N
OH7001912,N
OH1204412,S
OR4100776,N
OR4100250,N
84690025,N
TX0150235,N
TX1011995,N
TX2390049,N
TX0290064,N
VA5067359,N
WA5345086,N
WA5388667,N
UTAH27017,S
WI2460694,N
WI4360447,N
TX1700833,N
CT0680082,N
FL6535026,N
GA0510042,N
GA2110009,N
KS2013322,S
OH7702512,N
GA1950045,N
VA5590100,S
FL2104351,N
FL3424646,N
GA2290030,N
HI0000164,B
IL1617665,N
IN5230005,N
MI0005180,N
MI0007099,N
MS0710006,S
MT0003041,SB
NH1163010,N
NM3500130,N
NC0136214,N
NC0136128,N
NC0118273,N
NC0160146,N
OH7000112,N
OH0401212,N
SC0420003,SB
VA2790600,S
WA5309150,N
WA5302145,N
WV3304209,S
WI1141037,N
HI0000151,S
AK2220154,N
AK2382096,N
AZ0420041,N
CO0119501,N
CT0780041,N
DE00A0353,N
FL6531265,N
FL3531546,N
FL6094656,N
GA1030134,N
GA0290066,N
GA3210044,N
GA1750043,N
ID4200049,N
IL2015050,N
IN5243010,N
IA8215384,N
LA1005114,N
LA1055147,N
MI0040162,N
MS0680002,S
NY0310320,N
43700056,N
NC0407559,N
OH7608012,N
PR0518015,N
SD4600315,N
TX1550074,N
TX0200218,N
TX0200616,N
TX1050139,N
TX1010013,S
KS2002701,S
VA6047062,N
WA5352957,N
WA5316242,N
TX1700690,N
TX0290056,S
AK2360264,N
FL3354110,N
GA0690009,N
IL1415245,N
NC0136390,N
NC0299116,N
NC0241154,N
NC4392181,N
NC0472025,S
SC4650035,N
WA5307956,N
WI6560886,N
IA7383901,SB
AZ0413341,N
AZ0411324,N
AZ0404141,N
CA1000551,N
CA5400728,N
CA1500424,N
CT0780171,N
FL1370791,N
FL6511348,N
GA1030129,N
GA1850274,N
GA1950043,N
GA2450014,N
IL1135100,N
IL0895545,N
IA9433349,N
ME0000225,N
MI0040081,N
MI0040656,N
MI0040008,N
MI0040250,N
MI0067101,N
MN1660011,N
MO6036101,N
MO3071339,N
MO4069038,N
MO3036251,N
MT0000034,N
NH1993010,N
NY3503040,N
NY1302118,N
NY1303212,N
NC0201105,N
NC0234167,N
OH1204912,N
OH2300712,N
OH6705112,N
OH8701412,N
OH7500812,N
OK2003605,S
OR4100610,N
SC3260164,N
SC3950005,N
SD4602065,N
SD4600259,N
WA5342635,N
WA5367640,N
TX1330039,N
VA5019878,N
90400680,N
DE0000253,N
FL4431582,N
FL2544392,S
FL3480962,S
GA0510022,N
IL0975185,N
IL0977050,N
IA2900603,N
LA1085055,S
MO6069045,N
MO5048107,N
MT0000392,N
SC1450003,N
TX0150247,N
NN4903074,N
VT0005384,N
WA5303344,N
WA53AB809,N
TX0010054,N
ND4501434,S
ND3901068,S
AK2226509,N
CA1500393,N
CA4900723,N
CA5500086,N
CO0113200,S
FL6094886,N
GA2970020,N
LA1055015,N
MD0070250,N
MI0040005,N
MI0005625,N
MI0040563,N
MI0040607,N
MI0040016,N
MI0040177,N
MI0040099,N
MO6048401,N
NV0002023,N
NH2082050,N
NM3572307,N
NY4521831,N
NC4092065,N
NC0217020,N
OH7600312,N
OK2003880,SB
SD4602316,B
CO0143518,SB
VA1105500,S
WA5303000,N
WA5303581,N
WA5331001,N
WA5308371,N
WV3302407,N
SD4602201,S
WV3302617,N
FL3491298,N
GA0510239,N
GA2370063,N
NY1316152,N
NY0310329,N
NY2704518,S
NC0111161,N
NC0326010,S
VA5067093,N
VA1167250,N
VA5067952,N
WA5359609,N
VA4103500,N
CA5000389,N
FL6511307,N
GA1730015,N
GA2610039,N
IN5257023,N
KS2011309,S
LA1055017,S
MO6036009,N
MT0000593,N
MT0000367,N
NY5501375,N
NY2102301,S
OR4100951,S
PA2350057,N
PA4070013,N
PA7500030,N
TX2320002,S
UTAH22018,N
WA5352172,N
WA5356900,N
WA5398184,N
TX0610099,N
WI2683331,N
NN0400814,N
NN0435004,N
CO0121650,N
FL2160788,N
FL6295491,N
GA1030018,N
GA0710015,N
GA2730014,N
IL0977320,N
IL0950200,S
IA2570301,N
KS2019703,S
ME0005693,N
MI0040190,N
MI0040335,N
MI0040264,N
MI0040368,N
MI0040414,N
MI0040455,N
MN1550029,N
MS0420045,N
MO6031248,N
NH1932070,N
NM3550201,N
NM3550504,N
NC0392321,N
NC0392251,N
NC0145115,N
NC4392173,N
NC0392090,N
NC0161010,S
NC0145010,S
OH5202112,N
OH0201112,N
OK2004246,N
OR4101160,N
PA7360006,N
MO1021175,SB
VA3175300,N
VA3149552,N
TN0000056,S
WA5328090,N
WA5363215,N
WA5303099,N
WA5335900,S
NE3120301,SB
WV3301326,N
AZ0410278,N
CA1900062,N
CT1210021,N
GA2910051,N
GA0150035,N
LA1105045,B
MI0000048,N
NY3400714,N
NY3503585,N
OH5703512,S
PA2640012,N
LA1105008,S
VT0005115,N
VA4075520,N
AZ0404049,N
CA5000237,N
FL3424652,N
GA1570120,B
GA0290092,N
LA1013023,N
ME0002809,N
ME0001363,N
MO5031294,N
NH1972010,N
NM3544926,B
NC0332126,N
NC0155134,N
NC0160271,N
NC0118255,N
NC0144113,N
PR0458214,N
SC0420007,SB
TX1110127,N
TX2460054,N
TX1020009,N
WA5301429,N
WA5315531,N
IA4300600,N
GA1570117,SB
NM3505126,S
GA0310222,N
GA2750059,N
GA0310259,N
GA1170000,S
KS2009911,N
MI0040306,N
MI0040090,N
OH7605212,N
OH7003812,N
VA5089300,N
FL6420467,N
IA8215303,N
NY1321410,N
TN0000718,SB
VT0005607,N
WA5318189,N
WA5335354,N
VA3095320,N
AK2110449,N
AK2225511,N
AZ0413029,N
AZ0404016,N
AZ0410144,N
AZ0408066,N
AZ0409086,N
AZ0411062,N
CA2702588,N
CA3301803,N
CA3302093,N
CA4400605,N
CA0707573,N
CA0400027,N
CA4900688,N
CA4200572,N
CA2700674,N
CA5400718,N
CA3200107,N
CO0123566,S
CO0103079,N
CO0160650,N
CT1520061,N
DE00A0699,N
FL2554344,N
FL6531222,N
FL6094556,N
FL6271553,N
FL5280180,N
FL6290388,SB
GA1390012,N
GA1470057,N
GA1790123,N
GA0310034,N
ID6210001,N
ID3140193,N
ID1400032,N
IL0971110,N
IL1975520,N
IL0317050,N
IA5200813,N
IA6377046,S
LA1055121,N
LA1103125,N
LA1103071,N
LA1097008,N
LA1049027,N
LA1055074,N
LA1017070,N
LA1005159,N
LA1005040,N
ME0002390,N
MD0170006,N
MD0070223,N
MD0220221,N
MD0080034,N
MD0220003,N
MD0080061,N
MD0060217,N
MA3301008,N
MI0001655,N
MI0040554,N
MI0040515,N
MN1180030,N
MN1710013,N
MN1310011,S
MS0270020,N
MO3079510,N
MO4036256,N
MO6048148,N
MT0000374,N
MT0003393,N
NE3100102,N
NE3120014,N
NE3150471,S
NV0004000,N
NV0002046,N
NH2052070,N
NH2452040,N
NH1722020,N
NH0413030,N
NH0512130,N
63501123,N
NY5922910,N
NY5501275,N
NY4110694,N
NY3905698,N
NY3530183,N
NY3530190,N
NY3700920,N
NY5621317,N
NY4430165,N
NY5622708,N
NY5301425,N
NY3503555,N
NY4501797,N
NY0501711,SB
NC0368188,N
NC0122101,N
NC0465179,N
NC0113191,N
NC0392395,N
NC0150171,N
NC0234182,N
NC0442010,S
ND1800311,SB
OH2500612,N
OH8601212,N
OH7705112,N
OK2004257,N
OR4100140,N
OR4192104,N
OR4100023,N
OR4101208,N
OR4100437,N
OR4100872,N
OR4100898,N
OR4190269,N
OR4100893,S
PA4070047,N
PA7500015,N
PR0613496,N
PR0724097,N
RI1000045,N
SC4650034,N
SD4602005,N
SD4602017,N
SD4600316,N
SD4600865,S
TN0000408,S
TX1010743,N
TX0710067,N
VT0005010,S
VA6099085,N
VA6033251,N
VA6099550,N
NE3100101,S
WA5315514,N
WA5347820,N
WI6630268,N
WI2680195,N
WI4600447,N
WY5600029,S
NM3520023,N
VA5067042,N
CA5602104,N
CA5500053,N
CA5500080,N
CT1423011,S
FL3354644,N
FL3491726,N
GA1830049,N
GA1870086,N
GA0510144,N
IN5237012,N
KS2019109,N
NY3520965,N
NY5503752,N
NC0184136,N
VT0005004,S
VA5690400,S
CA1900806,N
CA3000663,N
CO0115467,N
GA0290070,N
ID1280247,N
ME0001009,N
MI0040246,N
MI0040345,N
MI0040187,N
MI0005460,SB
MO6036037,N
NC0113142,N
NC0118315,N
NC0180212,N
NC0155103,B
NC0180122,N
NC0279157,N
NC0113217,N
NC0149192,N
NC0136346,N
NC0136336,N
NC0145010,S
NC0118020,SB
OH7707212,N
OH7300111,S
PA2400149,N
SC3750012,N
SC0420007,SB
NC0155035,S
VA6033505,N
WV3302522,SB
CA2700713,N
CA3701793,N
CT0427011,N
DE0000140,N
GA1870085,N
GA0310204,N
IN5252017,N
LA1015024,N
MI0063477,N
MI0003343,N
NH1773020,N
NC0392179,N
NC0392261,N
PA3390049,N
SC0760015,N
TX0360100,N
TX1013563,N
TX1870012,N
WA5305182,N
WA5363907,N
TX1013376,S
TX0610181,N
VA1169405,S
CT0780061,N
FL3351366,N
IL1671200,S
LA1063083,N
MA1111003,N
NY3905703,N
OK3006650,SB
PR0505075,N
SC3260012,N
AZ0411009,S
VA5089638,N
WA5389450,N
WA5391912,N
AK2298608,N
AK2210794,N
AK2211091,N
CA3600185,N
CA1502232,N
CO0123519,N
CO0160450,N
CT1420021,N
FL3424962,N
FL6250278,N
FL3354969,N
FL2541008,N
FL6294733,N
FL3591248,N
FL1200334,S
GA1790104,N
GA2750073,N
GA3050080,N
ID4200031,N
ID4200043,N
ID1280195,N
IL0555100,S
MD0080030,N
IA1178097,S
MD0090224,N
KS2011511,SB
KS2012508,S
LA1055082,N
MD0210004,N
MD0090224,N
MD0180212,N
MI0001663,N
MI0003315,N
MI0007015,N
MO3031265,N
MO5031223,N
MO5036191,N
MO3031267,N
MO6036060,N
MO4010743,S
MT0001557,N
MT0000632,N
MT0000646,N
MT0002873,N
MT0002172,N
NH0781010,N
NH0162350,N
NH1392290,N
NH2232020,N
NJ1922027,N
NM3532617,N
63507009,N
NY0310322,N
NY5903424,N
NY1302124,N
NY0310330,N
NY3501324,N
NY1200265,N
NY0101649,N
NY5930027,N
NY5903150,N
NY0904192,S
NY1400443,S
NY3100567,S
NC0416192,N
NC0392397,N
NC0392365,N
NC0392055,SB
OH7701212,N
OH7401212,N
OK2004919,S
OR4101230,N
OR4100340,N
OR4100291,N
PA2400102,N
PA1090106,N
PA7500026,N
RI1592019,N
RI2882117,N
SC4660115,N
SC4650053,N
SD4602023,N
VA6047490,N
VA6033150,N
VA6177105,N
VA2023420,B
VA6047330,N
NM3510701,S
WA5315503,N
WA5353213,N
WA5363497,N
WA5387175,N
WA5389930,N
WI4690392,N
VT0005404,N
VA1051100,SB
VA2770900,S
NN0400182,N
DE00A0279,N
FL1370288,N
GA1070020,N
GA0770037,N
GA3210043,N
IL1050250,S
IA3126302,N
LA1015021,N
LA1055070,N
MS0690012,N
NM3539807,N
OH6201312,N
RI2753326,N
TX1010658,N
TX0930006,N
TX1630024,N
WA5347660,N
WA5386200,N
WY5600019,S
WY5601596,B
NN0436011,N
CA4900794,N
GA1850285,N
GA1870095,N
IA8222603,N
MO2048076,N
MO1024324,SB
NC0136176,N
ND3001431,SB
OH4504312,N
SC0410012,SB
VA1185761,SB
CA2701740,N
CA3400122,N
CT0710011,N
CT0490041,N
FL6094957,N
GA1790094,N
GA0310037,N
GA0310172,N
GA1030103,N
IL0975238,N
