WSA_AGIDF,Ecode
AZ0411004,N
TX2200018,N
NJ2004002,S
NJ1214001,S
NJ1221004,SB
NJ1215001,S
CA1910087,S
PR0004745,N
WA5324050,S
CA4110009,B
CA3810001,S
CA1910087,S
NY5903435,N
CA4310027,S
CA1910041,S
CA1910218,SB
CA1910087,S
PR0005166,N
CO0116001,S
WA5301300,SB
AZ0407100,N
AZ0407100,N
AZ0407100,N
OR4100657,S
CA4110006,N
CT0150011,S
TX2200199,S
GA0150000,S
GA0670003,SB
GA0570002,S
GA0150002,S
MD0100015,S
MD0100015,S
MD0100015,S
MD0100015,S
MD0100015,S
TX0710002,S
PR0003262,N
PR0002772,N
FL3050223,S
CA4310027,S
AZ0411128,N
CA1910087,S
PA1090026,S
MO1071079,S
MO1010415,S
CA3610006,S
CA3610050,S
CA3610036,SB
CA1910205,B
CA1910174,N
CA1910009,S
CA1910128,S
CA1910194,SB
CA1910126,S
CA1910087,S
CA1910060,S
CA1910087,S
CA0710010,S
RI1592024,SB
CO0116001,S
PR0003904,N
CO0103843,SB
OH0903912,S
WA5324050,S
CA1910041,S
NJ0408001,N
CA0110003,B
CA0110010,S
AL0001786,SB
MI0002838,S
CA1910139,B
CA1910087,S
CA1910087,S
NJ0415002,B
CA1910087,S
UTAH25112,S
UTAH18027,S
CO0116001,S
CA3610004,S
CA1910087,S
MI0002838,S
VA3710100,S
VA3095490,N
PA7220017,N
PA6430054,S
PA3390024,S
CA1910004,N
NJ0327001,S
CA1310014,S
PR0002662,N
CA3410015,N
TN0000107,S
TX0150054,N
AL0001422,S
PA4110034,S
PR0004664,N
NJ2004002,S
NJ1326001,SB
AZ0407093,N
AZ0407093,N
AZ0407093,N
AZ0407093,N
NJ1326004,S
CA1910087,S
FL6605012,N
NJ0327001,S
NJ0327001,S
TX2200199,S
LA1095003,S
AR0000272,S
CO0116001,S
TX0570004,S
IL1635040,S
AZ0410076,S
MA3030001,S
PA6370034,N
PA5100012,N
NY1302774,S
CA1910087,S
NJ0327001,S
IA8503039,S
CO0121150,S
MI0002838,S
FL4131202,N
IL0894380,S
GA2190000,SB
GA0130002,S
GA1350004,S
GA2170097,S
CA3110025,S
MI0002838,S
CA3810001,S
CA5610050,S
MI0005850,SB
PA1150166,N
GA2550000,S
OH2301012,N
PR0005376,N
MO3069001,N
MD0100030,N
MD0100030,N
MD0100030,N
MD0100030,N
MD0100030,N
MD0180007,N
MD0180007,N
MD0180007,N
MD0180007,N
MD0180007,N
MD0180007,N
DE0000991,N
FL4060291,N
NJ0501001,N
FL4501559,S
NJ0313001,SB
NJ0338001,S
OR4100187,S
PA1460048,S
NY7003493,S
VA6177280,N
CA1910087,S
WY5600050,S
OH8300512,S
AL0001780,S
TX2360058,S
PA4490024,N
AL0000737,SB
AZ0411131,N
NJ1111001,S
OH4701803,SB
NY4500175,SB
NY4505658,SB
NY4600091,S
NY4530222,S
NJ1605002,S
CA1910098,B
