Date,etr,pet,pr,sph,srad,tmmn,tmmx,vs,Pop,Wu
2008-10-28,3.5505660993327273,2.2780448738588075,0.0,0.002990151557823641,144.63989861342972,272.9037546140564,281.59571082837664,8.221676968039937,64035.81609882796,86.69
2008-10-29,3.445881216151616,2.217853062190644,0.0,0.002778690257173592,144.0551312017599,271.77683763372556,282.4690293168098,6.003215367455048,64037.91973977512,84.59
2008-10-30,3.1885716090593648,2.0844897412695604,0.0,0.002874802251254373,153.70577802716474,272.29618988124264,286.4265599247404,2.9920739801517056,64040.02338072227,68.55000000000001
2008-10-31,4.80914520630921,3.049861677558531,0.0,0.004023495309870144,151.27889280175933,273.51464343939807,291.9655151495612,4.7457401568778055,64042.127021669425,79.91
2008-11-01,3.0510936771038213,2.056045610191576,0.0,0.005512720500548833,120.76485209730636,277.5634873652075,292.8283404205364,2.5909991154395544,64044.230662616574,77.91
2008-11-02,3.452234822112416,2.2513763570381697,0.0,0.006122066655624671,70.74366587024588,282.7270185876437,291.9168692880125,3.487585863965076,64046.33430356373,80.50999999999999
2008-11-03,3.5013826309352236,2.264401985705548,0.0,0.005652466152526296,67.64331701799111,280.1536748377186,291.4007170997203,3.881915642602932,64048.43794451106,78.23
2008-11-04,4.0315211245892515,2.5934623393219898,0.0,0.005087841709943986,113.3832333122155,281.83645947005374,294.3131430941672,2.8307989023465834,64050.54158545821,77.43
2008-11-05,3.517190675438961,2.289108450709838,0.0,0.005061883214137052,121.9910701402475,279.7547093143705,293.89708578162634,2.5136139623115827,64052.645226405366,77.09
2008-11-06,3.5613736636936952,2.3198353759743853,0.0,0.0052421172153757885,121.29160913302955,280.41389670801163,294.2808696286523,2.5385272140886945,64054.748867352515,77.12
2008-11-07,2.0484266707352274,1.3442094708413763,8.866362542902563,0.00640955570025684,37.941040174383375,280.54271769680395,287.47555918394715,4.590264798813499,64056.85250829967,75.98
2008-11-08,2.9731269240646627,1.8894942719459105,0.0,0.0035875637468777946,72.01581964705879,276.4621956653354,281.68159148757144,6.145957544124879,64058.95614924682,73.28
2008-11-09,1.9520217857565691,1.2649815510504516,0.0,0.0032964450777790565,49.98775615099245,273.3770408927332,278.1786925495036,5.97315512119566,64061.05979019398,66.39
2008-11-10,2.170141907863547,1.3973004727974636,0.0,0.0023560305377372977,107.16998343741345,270.38721811703607,277.6215349511451,4.285784745075662,64063.16343114131,80.08
2008-11-11,1.6826687387173322,1.1269086468432106,4.6867537938759485,0.0026324978485893565,108.25959120011593,268.1852300771479,280.2282188529932,2.5331699443969433,64065.267072088456,84.66
2008-11-12,2.7466808726726093,1.7596459385587162,3.091856640822493,0.004116639899528603,60.702165299527714,274.54940367538774,284.9952900248076,5.187818106031708,64067.37071303561,68.7
2008-11-13,3.1116556506614783,1.9965776491293048,4.309425880285952,0.006058297836742817,96.32286795686045,278.3660076441253,289.3491070367354,6.678913531783851,64069.47435398276,74.14
2008-11-14,3.5092847151667286,2.233416528524465,0.9385386877374065,0.006008748485241407,100.15449235862587,278.7544551433549,290.5664442951613,6.037019481453293,64071.57799492992,76.97999999999999
2008-11-15,1.4656663698551968,0.929163611128368,17.569218183749012,0.0051778835744222965,26.130750278831954,274.8673010317085,284.17327171061334,5.97478267069721,64073.681635877074,65.94
2008-11-16,2.274429303068035,1.4506167696208467,0.0,0.0027599334753202393,58.942200944223224,272.68111483465884,276.5171672253516,7.385872352185402,64075.78527682422,80.55000000000001
2008-11-17,1.4723592262806864,0.9683498983800408,1.743413661397335,0.0026664837988623173,41.95547106019617,269.8680395161436,275.6385153048771,4.507412490239147,64077.888917771554,79.39
2008-11-18,1.716399014139716,1.1111113583524923,0.0,0.001970854289699325,97.58710220725858,267.6030921715077,273.57775158410976,5.153068625699984,64079.9925587187,69.03
2008-11-19,1.8769347371760343,1.1976161570055486,0.0,0.0020283693969715853,91.97800614942987,267.36229391650915,275.5803436856362,4.6203634178760895,64082.09619966586,74.52000000000001
2008-11-20,1.7600438141394117,1.1273289065591083,0.0,0.002544698334235141,59.496146080026605,269.9567729413141,275.4917839070904,5.9588110572747635,64084.199840613015,74.17
2008-11-21,1.852564712506906,1.171702111512552,0.0,0.0016953949765482227,94.63916547808105,266.74294601988345,271.70534483771183,6.783713145770503,64086.303481560164,74.28
2008-11-22,1.5176361301297867,0.9667426011912936,0.0,0.0013976700048303381,95.8606702554973,263.8278905194068,274.10097367068937,2.6564720325991718,64088.40712250732,80.55000000000001
2008-11-23,2.186168367262289,1.3694532519915406,0.0,0.0017302719619650257,100.07837312039958,265.3463310248886,277.6976169793804,3.9144286474347902,64090.51076345447,81.01
2008-11-24,1.0357868053763697,0.6851404417939584,7.261149888858519,0.0030871818404596308,34.057752800966924,268.43064237102857,276.304301270253,6.091970110849498,64092.6144044018,80.85
2008-11-25,1.4909191628000529,0.958012691561376,0.0,0.002784913687215,38.09959194597322,269.4834122426553,275.37268712927556,7.626248118744564,64094.71804534896,80.64
2008-11-26,1.6473576200841675,1.054409824458579,0.0,0.002497535359566505,95.53069205543656,268.6451951790518,277.0832552215466,4.1566118117852655,64096.821686296105,81.27
2008-11-27,1.7755745279290844,1.1333725261627128,0.0,0.002664108020578408,98.90199165871854,267.96591439027844,279.4010407533823,3.891310390118664,64098.92532724326,74.97
2008-11-28,1.9321756820227431,1.2145723816738407,0.0,0.002509120141255057,99.3845060151598,268.1695026542913,278.3000715400988,4.796501173851471,64101.02896819041,63.160000000000004
2008-11-29,1.4780332654009072,0.9584897352739344,0.0,0.0023785503722170325,87.97883756158636,268.1395362082175,278.7972218263277,2.3629883064057395,64103.13260913757,61.22
2008-11-30,1.3154796755617626,0.8457246637898821,11.308156571362964,0.0035577685763818283,27.71447571349808,270.9709188422977,279.0285191302945,5.392145918615374,64105.23625008472,71.31
2008-12-01,1.856888242136588,1.1486234867128655,0.7416751121345456,0.0029999593792391405,22.97767021810163,270.91862640163254,277.2738944086965,8.603507290539195,64107.33989103205,84.65
2008-12-02,1.8881151766550044,1.1902258070511147,4.787721553999222,0.002118027631832952,86.52338116751295,268.9702864669632,274.3804207029916,5.834475810416576,64109.4435319792,68.49000000000001
2008-12-03,2.734772706547019,1.6893833978719148,0.5469838151069996,0.003052591583641579,92.67551983378624,269.4437463922646,281.70391748216286,7.783116913450469,64111.54717292635,77.83
2008-12-04,2.0314468991195147,1.2757783593984002,0.3695733369334335,0.0026782816870869705,91.58033057243591,267.6693755687835,279.4090284981138,5.445152713586652,64113.65081387351,77.69999999999999
2008-12-05,1.6423573337434345,1.007620489517541,0.0,0.0012767306261442296,88.25619463272825,264.55978623543393,270.9323940982972,4.167906982069773,64115.754454820664,77.75
2008-12-06,1.3583256235674852,0.8595136786785752,1.1751792107483283,0.0019720318641821173,36.573204006583424,264.0489674791829,272.7956471869127,6.6555929451417395,64117.85809576781,74.00999999999999
2008-12-07,1.2614964090301652,0.7958073639816128,0.0,0.001745664840112634,82.99955160951563,265.84611081714723,270.6894128571609,4.617051341074295,64119.96173671497,70.37
